Time (s),Distance (cm),ax (mg),ay (mg),az (mg),vx (m/s)
2.74,711.0,-144.0,-265.0,939.0,-2.209212000000001
2.76,707.0,-198.0,46.0,1173.0,-2.2480596
2.78,704.0,-113.0,-85.0,955.0,-2.2702302
2.8,703.0,-3.0,156.0,975.0,-2.2708188
2.82,699.0,50.0,-7.0,834.0,-2.2610088
2.84,697.0,-39.0,-206.0,861.0,-2.2686606
2.86,695.0,-163.0,237.0,1158.0,-2.3006412000000003
2.88,693.0,-105.0,159.0,1119.0,-2.3212422000000004
2.9,687.0,-214.0,-296.0,990.0,-2.3632290000000005
2.92,688.0,-163.0,-3.0,838.0,-2.3952096000000007
2.94,685.0,191.0,-230.0,990.0,-2.3577354000000006
2.96,681.0,-42.0,-101.0,620.0,-2.3659758000000006
2.98,679.0,3.0,276.0,1181.0,-2.3653872000000007
3.0,676.0,23.0,70.0,764.0,-2.3608746000000007
3.02,676.0,-234.0,-230.0,1111.0,-2.406785400000001
3.04,673.0,-109.0,-163.0,846.0,-2.428171200000001
3.06,669.0,-226.0,183.0,1267.0,-2.4725124000000007
3.08,668.0,-144.0,237.0,1037.0,-2.500765200000001
3.1,666.0,-101.0,351.0,1088.0,-2.520581400000001
3.12,662.0,-292.0,183.0,1158.0,-2.577871800000001
3.14,660.0,-89.0,-39.0,1041.0,-2.595333600000001
3.16,657.0,-113.0,-206.0,819.0,-2.617504200000001
3.18,656.0,-31.0,-226.0,643.0,-2.6235864000000007
3.2,652.0,-19.0,-234.0,1017.0,-2.6273142000000007
3.22,647.0,-31.0,-171.0,791.0,-2.6333964000000005
3.24,644.0,-136.0,35.0,842.0,-2.6600796000000004
3.26,640.0,-58.0,-195.0,1029.0,-2.6714592
3.28,637.0,-74.0,-152.0,963.0,-2.685978
3.3,633.0,58.0,-113.0,967.0,-2.6745984
3.32,631.0,-93.0,-31.0,1115.0,-2.6928449999999997
3.34,629.0,-31.0,-62.0,920.0,-2.6989271999999995
3.36,625.0,-42.0,261.0,1197.0,-2.7071675999999996
3.38,622.0,-124.0,-261.0,1099.0,-2.7314963999999997
3.4,620.0,-195.0,-15.0,1173.0,-2.7697553999999998
3.42,619.0,-163.0,-292.0,1010.0,-2.801736
3.44,616.0,-370.0,97.0,1049.0,-2.87433
3.46,612.0,-140.0,15.0,1107.0,-2.901798
3.48,610.0,85.0,-152.0,518.0,-2.885121
3.5,608.0,101.0,202.0,1267.0,-2.8653047999999997
3.52,604.0,-444.0,-39.0,1142.0,-2.9524175999999995
3.54,601.0,-156.0,70.0,1002.0,-2.9830247999999995
3.56,599.0,-148.0,74.0,975.0,-3.0120623999999996
3.58,597.0,-124.0,269.0,1064.0,-3.0363911999999997
3.6,594.0,-23.0,15.0,787.0,-3.0409037999999997
3.62,592.0,-85.0,-62.0,1037.0,-3.0575807999999998
3.64,589.0,-152.0,323.0,1021.0,-3.0874032
3.66,586.0,-117.0,191.0,986.0,-3.1103585999999996
3.68,582.0,-253.0,93.0,932.0,-3.1599972
3.7,581.0,7.0,206.0,1092.0,-3.1586238
3.72,578.0,78.0,195.0,1119.0,-3.1433202
3.74,573.0,-70.0,222.0,612.0,-3.1570541999999997
3.76,572.0,-105.0,390.0,1329.0,-3.1776551999999993
3.78,570.0,-128.0,175.0,939.0,-3.2027687999999994
3.8,567.0,-15.0,-120.0,959.0,-3.2057117999999996
3.82,563.0,-81.0,-156.0,737.0,-3.2216039999999997
3.84,560.0,-237.0,-175.0,1224.0,-3.2681033999999998
3.86,558.0,-276.0,58.0,846.0,-3.3222546
3.88,557.0,-85.0,241.0,1209.0,-3.3389316
3.9,551.0,-136.0,117.0,1322.0,-3.3656148
3.92,548.0,-117.0,-42.0,865.0,-3.3885701999999998
3.94,545.0,-23.0,89.0,741.0,-3.3930827999999997
3.96,543.0,23.0,27.0,1154.0,-3.3885701999999998
3.98,540.0,-120.0,-50.0,776.0,-3.4121142
4.0,538.0,195.0,245.0,1244.0,-3.3738552
4.02,534.0,46.0,31.0,503.0,-3.36483
4.04,532.0,39.0,-386.0,787.0,-3.3571782
4.06,529.0,-50.0,-226.0,924.0,-3.3669881999999998
4.08,527.0,-218.0,187.0,1240.0,-3.4097598000000007
4.1,523.0,-39.0,-109.0,1002.0,-3.4174116000000003
4.12,521.0,-144.0,3.0,1201.0,-3.445664400000001
4.14,518.0,-128.0,210.0,1181.0,-3.4707780000000006
4.16,515.0,-179.0,198.0,1275.0,-3.5058978000000014
4.18,513.0,-425.0,-93.0,963.0,-3.5892827999999994
4.2,512.0,-109.0,257.0,1384.0,-3.6106686
4.22,508.0,-124.0,-191.0,709.0,-3.634997399999999
4.24,505.0,-97.0,-163.0,846.0,-3.6540287999999994
4.26,503.0,-218.0,-152.0,1088.0,-3.6968003999999985
4.28,501.0,-206.0,-163.0,1068.0,-3.7372175999999997
4.3,497.0,0.0,117.0,1021.0,-3.7372175999999997
4.32,494.0,-35.0,-89.0,928.0,-3.7440846
4.34,492.0,-183.0,156.0,1017.0,-3.7799891999999993
4.36,488.0,0.0,-245.0,904.0,-3.7799891999999993
4.38,483.0,-335.0,148.0,1443.0,-3.845716199999998
4.4,481.0,-39.0,-300.0,1017.0,-3.853367999999998
4.42,477.0,-78.0,23.0,869.0,-3.8686715999999977
4.44,475.0,23.0,-214.0,694.0,-3.8641589999999977
4.46,473.0,175.0,78.0,752.0,-3.8298239999999986
4.48,470.0,-214.0,109.0,725.0,-3.8718107999999996
4.5,469.0,-417.0,241.0,1411.0,-3.9536261999999978
4.52,465.0,-46.0,-245.0,791.0,-3.9626513999999977
4.54,461.0,-97.0,-132.0,889.0,-3.981682799999998
4.56,459.0,-117.0,-62.0,994.0,-4.004638199999998
4.58,456.0,-163.0,171.0,1306.0,-4.0366187999999985
4.6,453.0,-113.0,-70.0,1138.0,-4.058789399999998
4.62,451.0,-35.0,-136.0,900.0,-4.065656399999998
4.64,447.0,113.0,-78.0,1045.0,-4.043485799999998
4.66,446.0,-226.0,-226.0,951.0,-4.087826999999999
4.68,441.0,-284.0,39.0,811.0,-4.143547799999998
4.7,440.0,27.0,230.0,1267.0,-4.138250399999998
4.72,436.0,-315.0,-35.0,897.0,-4.200053399999996
4.74,435.0,-222.0,284.0,1322.0,-4.243609799999997
4.76,431.0,46.0,-308.0,483.0,-4.234584599999997
4.78,428.0,54.0,105.0,1068.0,-4.2239897999999965
4.8,424.0,-179.0,-335.0,893.0,-4.259109599999996
4.82,421.0,-187.0,273.0,1283.0,-4.295798999999997
4.84,419.0,0.0,148.0,982.0,-4.295798999999997
4.86,415.0,-156.0,23.0,787.0,-4.326406199999997
4.88,414.0,-117.0,152.0,951.0,-4.349361599999997
4.9,410.0,-58.0,-109.0,873.0,-4.360741199999998
4.92,403.0,113.0,0.0,791.0,-4.338570599999998
4.94,399.0,-85.0,-120.0,1251.0,-4.355247599999998
4.96,392.0,-93.0,261.0,1209.0,-4.373494199999998
4.98,390.0,-234.0,-62.0,795.0,-4.419404999999999
5.0,390.0,-27.0,179.0,1076.0,-4.424702399999999
5.02,385.0,-195.0,167.0,1306.0,-4.462961399999998
5.04,382.0,-198.0,50.0,963.0,-4.501809
5.06,378.0,-97.0,-66.0,748.0,-4.520840399999999
5.08,374.0,-31.0,-50.0,1146.0,-4.526922599999999
5.1,374.0,-191.0,-66.0,904.0,-4.564396799999998
5.12,369.0,-284.0,27.0,889.0,-4.6201175999999995
5.14,367.0,19.0,315.0,1115.0,-4.616389799999999
5.16,361.0,-195.0,226.0,1006.0,-4.6546488
5.18,361.0,-136.0,-39.0,1349.0,-4.681331999999999
5.2,358.0,3.0,-195.0,783.0,-4.680743399999999
5.22,350.0,-206.0,-347.0,834.0,-4.721160599999998
5.24,346.0,-163.0,-214.0,904.0,-4.753141199999999
5.26,337.0,-74.0,-105.0,682.0,-4.7676599999999985
5.28,326.0,50.0,-7.0,1029.0,-4.757849999999999
5.3,325.0,0.0,-105.0,1115.0,-4.757849999999999
5.32,325.0,50.0,31.0,897.0,-4.748039999999999
5.34,317.0,265.0,85.0,1212.0,-4.696047
5.36,321.0,-66.0,15.0,963.0,-4.7089962000000005
5.38,321.0,39.0,105.0,1142.0,-4.701344400000001
5.4,313.0,-175.0,-46.0,1088.0,-4.735679400000001
5.42,313.0,27.0,70.0,873.0,-4.730382000000001
5.44,320.0,202.0,-101.0,627.0,-4.6907496
5.46,312.0,39.0,120.0,920.0,-4.6830978000000005
5.48,315.0,66.0,3.0,1092.0,-4.6701486
5.5,316.0,15.0,-3.0,967.0,-4.6672056
5.52,311.0,-85.0,19.0,1006.0,-4.6838826
5.54,317.0,-78.0,27.0,959.0,-4.6991862
5.56,316.0,-93.0,3.0,982.0,-4.717432799999999
5.58,318.0,-97.0,0.0,982.0,-4.7364641999999995
5.6,315.0,-89.0,7.0,978.0,-4.753925999999999
5.62,316.0,-85.0,3.0,978.0,-4.7706029999999995
5.64,315.0,-70.0,3.0,990.0,-4.784336999999999
5.66,317.0,-62.0,3.0,975.0,-4.7965013999999995
5.68,312.0,-58.0,3.0,986.0,-4.807880999999999
5.7,314.0,-54.0,0.0,986.0,-4.8184758
5.72,313.0,-58.0,0.0,978.0,-4.8298554
5.74,317.0,-62.0,3.0,986.0,-4.8420198
5.76,316.0,-66.0,0.0,978.0,-4.854969
5.78,315.0,-66.0,0.0,986.0,-4.8679182
5.8,315.0,-70.0,0.0,975.0,-4.8816521999999996
5.82,312.0,-58.0,3.0,990.0,-4.8930318
5.84,316.0,-58.0,3.0,990.0,-4.9044114
5.86,310.0,-62.0,3.0,975.0,-4.9165758
5.88,315.0,-66.0,0.0,982.0,-4.929525
5.9,313.0,-70.0,0.0,978.0,-4.943259
5.92,316.0,-66.0,0.0,990.0,-4.9562082
5.94,313.0,-62.0,3.0,990.0,-4.9683726
5.96,318.0,-62.0,0.0,978.0,-4.980537
5.98,308.0,-66.0,0.0,994.0,-4.9934862
6.0,317.0,-58.0,0.0,990.0,-5.0048658
6.02,315.0,-58.0,0.0,986.0,-5.0162454
6.04,311.0,-58.0,0.0,978.0,-5.0276250000000005
6.06,315.0,-62.0,3.0,990.0,-5.0397894
6.08,317.0,-66.0,3.0,982.0,-5.0527386000000005
6.1,318.0,-66.0,7.0,975.0,-5.0656878
6.12,316.0,-66.0,0.0,982.0,-5.0786370000000005
6.14,313.0,-70.0,0.0,978.0,-5.092371
6.16,312.0,-58.0,3.0,978.0,-5.103750600000001
6.18,314.0,-62.0,0.0,986.0,-5.115915
6.2,317.0,-66.0,0.0,982.0,-5.128864200000001
6.22,319.0,-62.0,0.0,982.0,-5.1410286
6.24,314.0,-58.0,0.0,978.0,-5.152408200000001
6.26,321.0,-58.0,0.0,986.0,-5.163787800000001
6.28,315.0,-62.0,0.0,986.0,-5.175952200000001
6.3,318.0,-62.0,3.0,982.0,-5.188116600000001
6.32,315.0,-62.0,0.0,978.0,-5.200281000000001
6.34,315.0,-62.0,3.0,986.0,-5.212445400000001
6.36,315.0,-62.0,0.0,982.0,-5.224609800000001
6.38,313.0,-66.0,7.0,994.0,-5.237559000000001
6.4,313.0,-70.0,0.0,982.0,-5.251293000000001
6.42,311.0,-58.0,0.0,990.0,-5.262672600000001
6.44,314.0,-89.0,42.0,959.0,-5.2801344000000014
6.46,316.0,-70.0,-15.0,955.0,-5.293868400000001
6.48,316.0,-54.0,7.0,978.0,-5.304463200000002
6.5,317.0,-62.0,0.0,990.0,-5.316627600000001
6.52,320.0,-62.0,3.0,978.0,-5.328792000000001
6.54,311.0,-62.0,0.0,990.0,-5.340956400000001
6.56,309.0,-66.0,3.0,982.0,-5.353905600000001
6.58,317.0,-62.0,3.0,982.0,-5.3660700000000014
6.6,317.0,-66.0,0.0,982.0,-5.379019200000001
6.62,310.0,-66.0,0.0,990.0,-5.391968400000001
6.64,319.0,-58.0,3.0,982.0,-5.403348000000001
6.66,314.0,-58.0,0.0,975.0,-5.414727600000002
6.68,314.0,-70.0,11.0,975.0,-5.428461600000001
6.7,308.0,-58.0,0.0,982.0,-5.439841200000002
6.72,318.0,-66.0,3.0,986.0,-5.452790400000001
6.74,315.0,-70.0,3.0,982.0,-5.466524400000002
6.76,316.0,-62.0,7.0,990.0,-5.478688800000001
6.78,311.0,-62.0,-3.0,978.0,-5.490853200000002
6.8,314.0,-66.0,0.0,986.0,-5.503802400000001
6.82,314.0,-70.0,0.0,986.0,-5.517536400000002
6.84,310.0,-62.0,7.0,986.0,-5.529700800000001
6.86,315.0,-62.0,-3.0,982.0,-5.541865200000002
6.88,316.0,-66.0,0.0,986.0,-5.5548144000000015
6.9,318.0,-66.0,3.0,990.0,-5.567763600000002
6.92,308.0,-62.0,3.0,982.0,-5.5799280000000016
6.94,316.0,-42.0,-7.0,971.0,-5.588168400000002
6.96,316.0,-31.0,-3.0,943.0,-5.594250600000001
6.98,314.0,39.0,11.0,1088.0,-5.586598800000001
7.0,312.0,-97.0,3.0,1021.0,-5.6056302
7.02,317.0,-132.0,19.0,764.0,-5.631528599999999
7.04,315.0,15.0,-35.0,928.0,-5.628585599999999
7.06,317.0,-144.0,-19.0,978.0,-5.656838399999999
7.08,317.0,-156.0,-101.0,1170.0,-5.687445599999999
7.1,316.0,-152.0,-19.0,939.0,-5.717267999999999
7.12,313.0,331.0,0.0,994.0,-5.652325799999997
7.14,317.0,-31.0,-46.0,959.0,-5.658407999999997
7.16,316.0,-97.0,85.0,1228.0,-5.677439399999997
7.18,319.0,304.0,-78.0,846.0,-5.617794599999998
7.2,315.0,413.0,-191.0,881.0,-5.536763999999996
7.22,317.0,50.0,85.0,1248.0,-5.526953999999996
7.24,318.0,-152.0,-35.0,955.0,-5.556776399999997
7.26,320.0,335.0,120.0,1119.0,-5.491049399999998
7.28,322.0,-273.0,144.0,1041.0,-5.544611999999999
7.3,319.0,-195.0,-89.0,885.0,-5.582870999999998
7.32,324.0,-39.0,109.0,936.0,-5.590522799999999
7.34,324.0,-148.0,-50.0,959.0,-5.619560399999998
7.36,323.0,-253.0,50.0,1146.0,-5.669199
7.38,319.0,-218.0,-487.0,713.0,-5.711970599999999
7.4,325.0,70.0,-3.0,936.0,-5.698236599999999
7.42,324.0,-58.0,-35.0,955.0,-5.709616199999998
7.44,331.0,35.0,120.0,1076.0,-5.702749199999999
7.46,331.0,171.0,-27.0,826.0,-5.669198999999999
7.48,329.0,97.0,42.0,1025.0,-5.650167599999999
7.5,331.0,46.0,-569.0,807.0,-5.641142399999999
7.52,332.0,-132.0,-581.0,741.0,-5.667040799999998
7.54,340.0,-78.0,202.0,1185.0,-5.682344399999998
7.56,349.0,-7.0,-253.0,721.0,-5.683717799999998
7.58,360.0,11.0,-183.0,971.0,-5.681559599999998
7.6,366.0,23.0,54.0,975.0,-5.677046999999998
7.62,370.0,-23.0,136.0,846.0,-5.681559599999998
7.64,371.0,-253.0,390.0,1236.0,-5.731198199999997
7.66,374.0,-74.0,475.0,1482.0,-5.745716999999997
7.68,376.0,54.0,327.0,900.0,-5.7351221999999975
7.7,380.0,46.0,81.0,1189.0,-5.7260969999999975
7.72,381.0,-128.0,85.0,850.0,-5.751210599999997
7.74,384.0,66.0,600.0,1181.0,-5.738261399999996
7.76,385.0,-288.0,327.0,1528.0,-5.794766999999995
7.78,390.0,-54.0,-202.0,943.0,-5.805361799999996
7.8,392.0,-171.0,-354.0,772.0,-5.838911999999995
7.82,393.0,-276.0,206.0,1224.0,-5.893063199999997
7.84,396.0,-3.0,292.0,1318.0,-5.893651799999997
7.86,399.0,-351.0,-62.0,1170.0,-5.962517999999998
7.88,402.0,-117.0,167.0,1220.0,-5.985473399999998
7.9,404.0,-39.0,-167.0,795.0,-5.993125199999999
7.92,413.0,-214.0,-11.0,1521.0,-6.035111999999998
7.94,418.0,-3.0,-66.0,764.0,-6.035700599999998
7.96,418.0,0.0,378.0,916.0,-6.035700599999998
7.98,429.0,-97.0,460.0,1119.0,-6.054731999999999
8.0,430.0,234.0,670.0,1384.0,-6.0088212
8.02,433.0,-265.0,-265.0,752.0,-6.0608141999999985
8.04,436.0,-109.0,378.0,1365.0,-6.082199999999998
8.06,440.0,-85.0,-54.0,975.0,-6.098876999999999
8.08,440.0,-46.0,-46.0,624.0,-6.107902199999999
8.1,444.0,-261.0,167.0,1259.0,-6.159110399999998
8.12,448.0,159.0,-261.0,678.0,-6.127914599999999
8.14,450.0,-70.0,-358.0,1010.0,-6.1416486
8.16,452.0,-81.0,167.0,1372.0,-6.1575408
8.18,455.0,-167.0,-140.0,873.0,-6.190306199999999
8.2,457.0,46.0,-117.0,881.0,-6.181280999999999
8.22,460.0,-191.0,-120.0,799.0,-6.218755200000002
8.24,462.0,-19.0,534.0,1392.0,-6.222483000000002
8.26,468.0,70.0,-81.0,663.0,-6.208749000000003
8.28,469.0,89.0,7.0,1150.0,-6.191287200000003
8.3,472.0,31.0,202.0,1088.0,-6.1852050000000025
8.32,475.0,-31.0,117.0,1033.0,-6.191287200000002
8.34,478.0,-144.0,19.0,1150.0,-6.219540000000002
8.36,481.0,-89.0,-93.0,1337.0,-6.237001800000002
8.38,485.0,-54.0,-3.0,670.0,-6.247596600000002
8.4,480.0,-58.0,-156.0,1185.0,-6.258976200000002
8.42,482.0,-101.0,-117.0,834.0,-6.278792400000001
8.44,484.0,-128.0,152.0,1173.0,-6.3039060000000005
8.46,463.0,-66.0,-46.0,1010.0,-6.316855200000001
8.48,457.0,-81.0,382.0,1337.0,-6.332747400000001
8.5,448.0,15.0,417.0,1181.0,-6.3298044
8.52,452.0,-74.0,210.0,1283.0,-6.3443232
8.54,451.0,7.0,-113.0,873.0,-6.3429497999999995
8.56,441.0,-50.0,483.0,1119.0,-6.3527598
8.58,440.0,-93.0,-487.0,920.0,-6.3710064
8.6,441.0,191.0,-354.0,830.0,-6.3335322000000005
8.62,447.0,-101.0,312.0,815.0,-6.3533484
8.64,449.0,120.0,-128.0,830.0,-6.329804399999998
8.66,448.0,0.0,117.0,1088.0,-6.329804399999998
8.68,464.0,-253.0,374.0,1123.0,-6.379442999999997
8.7,473.0,-105.0,105.0,1314.0,-6.400043999999996
8.72,474.0,-101.0,-156.0,819.0,-6.419860199999997
8.74,480.0,19.0,-124.0,928.0,-6.416132399999997
8.76,486.0,-35.0,-393.0,682.0,-6.422999399999997
8.78,488.0,27.0,-70.0,982.0,-6.417701999999997
8.8,482.0,-253.0,257.0,1458.0,-6.4673406
8.82,483.0,-15.0,947.0,1275.0,-6.4702836
8.84,485.0,-101.0,136.0,912.0,-6.490099799999999
8.86,485.0,89.0,128.0,569.0,-6.472638
8.88,503.0,-35.0,-140.0,776.0,-6.4795050000000005
8.9,499.0,-3.0,241.0,912.0,-6.480093600000001
8.92,488.0,-222.0,635.0,1606.0,-6.52365
8.94,499.0,15.0,510.0,881.0,-6.520707
8.96,495.0,27.0,253.0,1080.0,-6.515409599999999
8.98,502.0,-85.0,-390.0,702.0,-6.532086599999999
9.0,490.0,-50.0,-269.0,951.0,-6.5418965999999985
9.02,489.0,-7.0,70.0,795.0,-6.543269999999999
9.04,482.0,-234.0,-507.0,881.0,-6.589180799999998
9.06,482.0,-117.0,-323.0,635.0,-6.612136199999999
9.08,489.0,-226.0,74.0,1045.0,-6.656477399999998
9.1,486.0,117.0,374.0,1197.0,-6.633521999999998
