Time (s),Distance (cm),ax (mg),ay (mg),az (mg),vx (m/s),vy (m/s),vz (m/s),PWM,v_resultant (m/s)
1.68,1241,-18.7285714285714,-14.0857142857143,1.24285714285713,-0.275021948571428,-0.179528605714286,0.0090083828571427,0,0.3285555408564
1.72,1243,-16.7285714285714,-12.0857142857143,2.24285714285713,-0.28158624,-0.18427104,0.00988847999999984,0,0.336666613694809
1.76,1242,-17.7285714285714,-11.0857142857143,-0.757142857142867,-0.288542931428571,-0.188621074285714,0.00959137714285698,0,0.344857836590075
1.8,1241,-17.7285714285714,-12.0857142857143,4.24285714285713,-0.295499622857143,-0.193363508571429,0.0112562742857141,0,0.353321634303027
1.84,1246,-15.7285714285714,-13.0857142857143,2.24285714285713,-0.301671514285714,-0.198498342857143,0.0121363714285713,0,0.361323381695566
1.88,1247,-15.7285714285714,-11.0857142857143,-0.757142857142867,-0.307843405714286,-0.202848377142857,0.0118392685714284,0,0.368856604701024
1.92,1245,-17.7285714285714,-13.0857142857143,-1.75714285714287,-0.314800097142857,-0.207983211428571,0.0111497657142855,0,0.377465805964961
1.96,1241,-16.7285714285714,-13.0857142857143,2.24285714285713,-0.321364388571428,-0.213118045714286,0.0120298628571427,0,0.385796694194398
2,1248,-13.7285714285714,-10.0857142857143,1.24285714285713,-0.32675148,-0.21707568,0.0125175599999998,0,0.392485757497016
2.04,1244,-15.7285714285714,-9.08571428571429,-4.75714285714287,-0.332923371428571,-0.220640914285714,0.010650857142857,0,0.399542019139514
2.08,1245,-16.7285714285714,-10.0857142857143,1.24285714285713,-0.339487662857143,-0.224598548571429,0.0111385542857141,681,0.407210570398379
2.12,1241,-20.7285714285714,-12.0857142857143,6.24285714285713,-0.347621554285714,-0.229340982857143,0.0135882514285712,1021,0.416680539500925
2.16,1243,-18.7285714285714,-13.0857142857143,0.242857142857133,-0.354970645714286,-0.234475817142857,0.0136835485714284,1021,0.425641054933772
2.2,1245,-19.7285714285714,-11.0857142857143,-1.75714285714287,-0.362712137142857,-0.238825851428572,0.0129940457142855,1021,0.434472930071996
2.24,1246,-15.7285714285714,-12.0857142857143,0.242857142857133,-0.368884028571429,-0.243568285714286,0.0130893428571427,1192,0.442235533666523
2.28,1241,-14.7285714285714,-12.0857142857143,-1.75714285714287,-0.37466352,-0.24831072,0.0123998399999998,1192,0.449649555673898
2.32,1242,-15.7285714285714,-12.0857142857143,5.24285714285713,-0.380835411428571,-0.253053154285714,0.0144571371428569,1192,0.457471877065996
2.36,1251,-18.7285714285714,-13.0857142857143,1.24285714285713,-0.388184502857143,-0.258187988571429,0.0149448342857141,1192,0.466445702920324
2.4,1244,-18.7285714285714,-12.0857142857143,0.242857142857133,-0.395533594285714,-0.262930422857143,0.0150401314285712,1192,0.475189895753056
2.44,1238,-14.7285714285714,-21.0857142857143,2.24285714285713,-0.401313085714286,-0.271204457142857,0.0159202285714284,1192,0.484620990071045
2.48,1242,-20.7285714285714,-14.0857142857143,1.24285714285713,-0.409446977142857,-0.276731691428572,0.0164079257142855,1192,0.494465849335004
2.52,1241,-21.7285714285714,-11.0857142857143,2.24285714285713,-0.417973268571428,-0.281081725714286,0.0172880228571426,1192,0.503991533168082
2.56,1241,-17.7285714285714,-13.0857142857143,-0.757142857142867,-0.42492996,-0.28621656,0.0169909199999998,1192,0.512614944657568
2.6,1241,-16.7285714285714,-8.08571428571429,12.2428571428571,-0.431494251428571,-0.289389394285714,0.0217950171428569,1872,0.520008205044126
2.64,1240,-16.7285714285714,-11.0857142857143,-3.75714285714287,-0.438058542857143,-0.293739428571429,0.0203207142857141,1872,0.527817269797678
2.68,1239,-20.7285714285714,-12.0857142857143,-3.75714285714287,-0.446192434285714,-0.298481862857143,0.0188464114285712,1872,0.537153886788709
2.72,1243,-17.7285714285714,-11.0857142857143,-2.75714285714287,-0.453149125714286,-0.302831897142857,0.0177645085714283,1872,0.545313548178979
2.76,1241,-18.7285714285714,-13.0857142857143,4.24285714285713,-0.460498217142857,-0.307966731428571,0.0194294057142854,1872,0.554328077464021
2.8,1237,-15.7285714285714,-12.0857142857143,3.24285714285713,-0.466670108571429,-0.312709165714286,0.0207019028571426,1872,0.562135732130328
2.84,1237,-16.7285714285714,-13.0857142857143,2.24285714285713,-0.4732344,-0.317844,0.0215819999999997,1872,0.570474704437769
2.88,1241,-15.7285714285714,-11.0857142857143,6.24285714285713,-0.479406291428571,-0.322194034285714,0.0240316971428569,2213,0.578114963011827
2.92,1244,-17.7285714285714,-12.0857142857143,4.24285714285713,-0.486362982857143,-0.326936468571429,0.025696594285714,2213,0.586597579720151
2.96,1246,-14.7285714285714,-9.08571428571429,0.242857142857133,-0.492142474285714,-0.330501702857143,0.0257918914285711,2894,0.593380832392654
3,1243,-15.7285714285714,-14.0857142857143,3.24285714285713,-0.498314365714286,-0.336028937142857,0.0270643885714283,2894,0.601635383603171
3.04,1239,-11.7285714285714,-12.0857142857143,3.24285714285713,-0.502916657142857,-0.340771371428572,0.0283368857142854,2894,0.608155630335723
3.08,1241,-14.7285714285714,-10.0857142857143,-1.75714285714287,-0.508696148571429,-0.344729005714286,0.0276473828571426,3234,0.615121318709581
3.12,1242,-16.7285714285714,-12.0857142857143,5.24285714285713,-0.51526044,-0.34947144,0.0297046799999997,3234,0.623302475864303
3.16,1245,-14.7285714285714,-11.0857142857143,2.24285714285713,-0.521039931428571,-0.353821474285714,0.0305847771428568,3234,0.630561396219024
3.2,1241,-19.7285714285714,-13.0857142857143,3.24285714285713,-0.528781422857143,-0.358956308571429,0.031857274285714,3234,0.639901797580665
3.24,1240,-13.7285714285714,-13.0857142857143,-1.75714285714287,-0.534168514285714,-0.364091142857143,0.0311677714285711,3234,0.647201507984222
3.28,1244,-16.7285714285714,-12.0857142857143,-2.75714285714287,-0.540732805714286,-0.368833577142857,0.0300858685714283,3234,0.655236853581464
4.2,1241,-13.7285714285714,-12.0857142857143,2.24285714285713,-0.664635908571429,-0.477909565714286,0.0503281028571425,6298,0.820165447882916
4.6,1201,-24.7285714285714,1.91428571428571,-14.7571428571429,-0.761670822857143,-0.470397908571429,-0.00757892571428606,6298,0.895250844677196
4.64,1198,-206.728571428571,-7.08571428571429,-41.7571428571429,-0.842791114285714,-0.473178342857143,-0.0239644285714289,6298,0.9668344740982
4.64,1198,-206.728571428571,-7.08571428571429,-41.7571428571429,-0.842791114285714,-0.473178342857143,-0.0239644285714289,6298,0.9668344740982
4.64,1198,-206.728571428571,-7.08571428571429,-41.7571428571429,-0.842791114285714,-0.473178342857143,-0.0239644285714289,6298,0.9668344740982
4.68,1180,-139.728571428571,-21.0857142857143,5.24285714285713,-0.897620605714286,-0.481452377142857,-0.0219071314285718,6298,1.01882239162026
4.68,1180,-139.728571428571,-21.0857142857143,5.24285714285713,-0.897620605714286,-0.481452377142857,-0.0219071314285718,6298,1.01882239162026
4.72,1179,-60.7285714285714,61.9142857142857,-19.7571428571429,-0.921450497142857,-0.457157211428572,-0.0296598342857147,6298,1.02904977548019
