Time (s),Distance (cm),ax (mg),ay (mg),az (mg),vx (m/s),vy (m/s),vz (m/s),PWM,v_resultant (m/s)
2.52,1208,-112.728571428571,69.9142857142857,17.2428571428571,-0.0550032685714286,0.0838502742857144,-0.0564831771428574,7490,0.115093776336871
2.56,1252,20.2714285714286,31.9142857142857,12.2428571428571,-0.04704876,0.0963734400000001,-0.0516790800000003,8511,0.119046852392735
2.6,1241,-59.7285714285714,-9.08571428571429,-106.757142857143,-0.0704862514285715,0.0928082057142859,-0.0935705828571432,8511,0.149456109492327
2.64,1255,-68.7285714285714,14.9142857142857,97.2428571428571,-0.097455342857143,0.0986605714285716,-0.055412485714286,8511,0.149338527443696
2.68,1253,-132.728571428571,22.9142857142857,31.2428571428571,-0.149538034285714,0.107652137142857,-0.0431527885714289,8511,0.189242620704086
2.72,1250,-39.7285714285714,-22.0857142857143,-5.75714285714287,-0.165127525714286,0.098985702857143,-0.0454118914285717,8511,0.197806746603257
2.76,1248,-235.728571428571,37.9142857142857,-64.7571428571429,-0.257627417142856,0.113863268571429,-0.0708225942857143,8511,0.290435138808698
2.8,1235,-227.728571428571,-57.0857142857143,-101.757142857143,-0.346988108571428,0.0914628342857143,-0.110752097142857,8511,0.37554257357468
2.84,1242,-133.728571428571,83.9142857142857,51.2428571428571,-0.399463199999999,0.1243908,-0.0906444000000001,8511,0.428089157221063
2.88,1237,-187.728571428571,62.9142857142857,-27.7571428571429,-0.473127891428571,0.149078365714286,-0.101536302857143,8511,0.506343738550785
2.92,1218,-184.728571428571,191.914285714286,55.2428571428571,-0.545615382857142,0.224385531428572,-0.0798590057142858,8511,0.595333917661763
2.96,1203,-125.728571428571,-260.085714285714,-82.7571428571429,-0.594951274285714,0.122327897142857,-0.112332908571429,8511,0.617697187577947
3,1198,-99.7285714285714,-28.0857142857143,-107.757142857143,-0.634084765714285,0.111307062857143,-0.154616811428572,8511,0.66208693592999
3.04,1185,-44.7285714285714,-126.085714285714,-183.757142857143,-0.651636257142857,0.0618310285714285,-0.226723114285715,8511,0.692716578601065
3.08,1185,58.2714285714286,101.914285714286,-29.7571428571429,-0.628770548571428,0.101822194285714,-0.238399817142857,8511,0.680113692564501
3.12,1185,54.2714285714286,-260.085714285714,-268.757142857143,-0.60747444,-0.000235440000000114,-0.34386012,8511,0.698043718410045
3.16,1178,-157.728571428571,-229.085714285714,-120.757142857143,-0.669367131428571,-0.0901286742857145,-0.391245222857143,8511,0.78054363041021
3.2,1182,-126.728571428571,-263.085714285714,74.2428571428571,-0.719095422857143,-0.193363508571429,-0.362112325714286,8511,0.828017517964056
3.24,1175,-214.728571428571,15.9142857142857,-159.757142857143,-0.803354914285714,-0.187118742857143,-0.424801028571429,8511,0.927819193652938
3.28,1155,-38.7285714285714,118.914285714286,346.242857142857,-0.818552005714285,-0.140456777142858,-0.288935331428573,8511,0.879340160604517
3.32,1141,-157.728571428571,-299.085714285714,-499.757142857143,-0.880444697142857,-0.257818011428572,-0.485040034285716,8511,1.03774603184202
3.36,1151,71.2714285714286,-385.085714285714,-386.757142857143,-0.852477788571428,-0.408925645714287,-0.636803537142859,8511,1.13993741435578
3.4,1131,-206.728571428571,201.914285714286,224.242857142857,-0.93359808,-0.329694480000001,-0.548810640000002,8511,1.13203221848999
3.44,1115,77.2714285714286,-315.085714285714,-464.757142857143,-0.903276771428571,-0.453334114285715,-0.731181342857145,8511,1.24741608981126
3.48,1124,-191.728571428571,324.914285714286,107.242857142857,-0.978511062857143,-0.32583774857143,-0.689099245714288,8511,1.24036765072776
3.52,1136,-388.728571428571,-131.085714285714,245.242857142857,-1.13104815428571,-0.377275782857144,-0.592865948571431,8511,1.3315768759704
3.56,1138,-233.728571428571,-28.0857142857143,-29.7571428571429,-1.22276324571429,-0.388296617142858,-0.604542651428574,8511,1.41823694612382
3.6,1137,-251.728571428571,233.914285714286,-4.75714285714287,-1.32154153714286,-0.296508651428572,-0.606409354285717,8511,1.48395475663213
3.64,1126,-295.728571428571,-437.085714285714,62.2428571428571,-1.43758542857143,-0.468021085714287,-0.581985257142859,8511,1.62000075328554
3.68,1122,-267.728571428571,-106.085714285714,120.242857142857,-1.54264212,-0.509649120000001,-0.534801960000002,8511,1.71040932888438
3.72,1136,-41.7285714285714,-84.0857142857143,-190.757142857143,-1.55901641142857,-0.542644354285715,-0.609655062857145,8511,1.75973701501364
3.76,1115,-152.728571428571,236.914285714286,193.242857142857,-1.61894710285714,-0.449679188571431,-0.533826565714289,8511,1.76300082153869
3.8,1124,-0.728571428571428,230.914285714286,202.242857142857,-1.61923299428571,-0.359068422857145,-0.454466468571432,8511,1.71970503085046
3.84,1137,-10.7285714285714,-490.085714285714,-372.757142857143,-1.62344288571429,-0.551378057142859,-0.600736371428575,8511,1.81671922790291
3.88,1155,94.2714285714286,619.914285714286,618.242857142857,-1.58645077714286,-0.308123691428573,-0.358137874285717,8511,1.65530329985614
3.92,1144,-331.728571428571,-382.085714285714,-121.757142857143,-1.71662106857143,-0.458054125714288,-0.40591537714286,8511,1.82246228179028
3.96,1133,-162.728571428571,-458.085714285714,-505.757142857143,-1.78047576,-0.637806960000002,-0.604374480000003,8511,1.98548738657472
4,1135,-73.7285714285714,-781.085714285714,-723.757142857143,-1.80940685142857,-0.944304994285717,-0.888376782857146,8511,2.22595561154063
4.04,1105,-111.728571428571,-400.085714285714,-223.757142857143,-1.85324914285714,-1.10129862857143,-0.976179085714289,8511,2.36649881939122
4.08,1095,-71.7285714285714,-738.085714285714,-295.757142857143,-1.88139543428571,-1.39092346285715,-1.09223418857143,8511,2.58211006395195
4.12,1101,-166.728571428571,-17.0857142857143,-213.757142857143,-1.94681972571429,-1.39762789714286,-1.17611249142858,8511,2.66959011381833
4.16,1109,-41.7285714285714,-112.085714285714,260.242857142857,-1.96319401714286,-1.44161033142857,-1.07399319428572,8511,2.66192270323523
4.2,1107,-203.728571428571,-390.085714285714,-62.7571428571429,-2.04313710857143,-1.59467996571429,-1.09861909714286,8511,2.8150270616957
4.24,1091,-97.7285714285714,434.914285714286,286.242857142857,-2.0814858,-1.4240196,-0.986297400000004,8511,2.70798772486741
4.28,1101,-44.7285714285714,228.914285714286,79.2428571428571,-2.09903729142857,-1.33419363428572,-0.955202502857147,8511,2.66429015425139
4.32,1099,-138.728571428571,631.914285714286,325.242857142857,-2.15347438285714,-1.08623046857143,-0.827577205714289,8511,2.54994756414573
4.36,1089,-61.7285714285714,292.914285714286,443.242857142857,-2.17769667428572,-0.971290902857145,-0.653648708571432,8511,2.47245332764548
4.4,1096,-8.72857142857143,60.9142857142857,62.2428571428571,-2.18112176571429,-0.94738813714286,-0.629224611428575,8511,2.45982927271367
4.44,1094,12.2714285714286,-71.0857142857143,-144.757142857143,-2.17630645714286,-0.975282171428574,-0.686027314285718,8511,2.48155567845136
4.48,1069,-202.728571428571,-419.085714285714,-167.757142857143,-2.25585714857143,-1.13973140571429,-0.751855217142861,8511,2.63688555297291
